deployment_name,archetype,platform,memory_mb,image_size,block_index,invocation_frequency,traffic_cv,duration_tier,block_start_utc,total_requests,error_count,error_rate_pct,p50_latency_ms,p95_latency_ms,p99_latency_ms,mean_latency_ms,throughput_rps,image_size_mb,state_management,cold_start_rate_pct,cold_start_duration_ms,alb_lcu_cost_usd,estimated_cost_usd,invocation_frequency_numeric,duration_tier_numeric,log_invocations,sustained_load,arch_enterprise-microservice,arch_event-driven-api,arch_ml-inference,platform_is_lambda
svc-ml-inference-512mb-standard-serverless,ml-inference,lambda,512,standard,20,50k,0.5,medium,2026-05-10 07:56:14.914619+00:00,3118,0,0.0,309.07,336.38,352.54,311.55,0.5774,250,0,0.0321,4241.28,0.0,0.008719,50000,2000,10.819778284410283,100.0,0,0,1,1
svc-event-driven-api-512mb-standard-container,event-driven-api,fargate,512,standard,20,50k,0.5,medium,2026-05-10 07:56:26.294611+00:00,3128,0,0.0,42.08,50.32,71.03,42.96,0.5793,250,0,0.0,0.0,0.00013252,0.03716,50000,2000,10.819778284410283,100.0,0,1,0,0
svc-batch-transform-2gb-slim-container,batch-transform,fargate,2048,slim,20,50k,0.5,medium,2026-05-10 07:59:37.288014+00:00,3094,0,0.0,105.27,109.0,121.8,105.9,0.573,50,0,0.0,0.0,0.00013217,0.148242,50000,2000,10.819778284410283,100.0,0,0,0,0
svc-event-driven-api-2gb-standard-serverless,event-driven-api,lambda,2048,standard,20,50k,0.5,medium,2026-05-10 08:00:38.613473+00:00,3150,0,0.0,61.13,70.87,81.94,62.38,0.5833,250,0,0.0,0.0,0.0,0.00718,50000,2000,10.819778284410283,100.0,0,1,0,1
svc-ml-inference-2gb-standard-container,ml-inference,fargate,2048,standard,20,50k,0.5,medium,2026-05-10 08:01:01.815257+00:00,3133,0,0.0,551.48,568.08,594.39,552.26,0.5802,250,0,0.0,0.0,0.00013106,0.148241,50000,2000,10.819778284410283,100.0,0,0,1,0
svc-enterprise-microservice-512mb-slim-container,enterprise-microservice,fargate,512,slim,20,50k,0.5,medium,2026-05-10 08:06:56.347249+00:00,3130,0,0.0,8.16,10.64,17.74,8.64,0.5796,50,1,0.0,0.0,0.00012897,0.037156,50000,2000,10.819778284410283,100.0,1,0,0,0
svc-enterprise-microservice-512mb-standard-container,enterprise-microservice,fargate,512,standard,20,50k,0.5,medium,2026-05-10 08:07:33.171594+00:00,3068,0,0.0,5.65,8.31,17.84,6.25,0.5681,250,1,0.0,0.0,0.00012841,0.037156,50000,2000,10.819778284410283,100.0,1,0,0,0
svc-enterprise-microservice-2gb-standard-container,enterprise-microservice,fargate,2048,standard,20,50k,0.5,medium,2026-05-10 08:19:53.144142+00:00,3164,0,0.0,6.94,9.29,16.45,7.42,0.5859,250,1,0.0,0.0,0.00012393,0.148234,50000,2000,10.819778284410283,100.0,1,0,0,0
svc-batch-transform-512mb-slim-serverless,batch-transform,lambda,512,slim,20,50k,0.5,medium,2026-05-10 08:23:11.494732+00:00,3138,0,0.0,79.88,98.44,120.86,81.64,0.5811,50,0,0.0319,1322.77,0.0,0.002762,50000,2000,10.819778284410283,100.0,0,0,0,1
svc-event-driven-api-512mb-slim-container,event-driven-api,fargate,512,slim,20,50k,0.5,medium,2026-05-10 08:32:23.458534+00:00,3128,0,0.0,43.18,54.25,79.82,44.38,0.5793,50,0,0.0,0.0,0.00012364,0.037151,50000,2000,10.819778284410283,100.0,0,1,0,0
